actual,risk_score,decision
0,0.0046103075,approve
0,0.00084061734,approve
0,0.006693304,approve
0,0.09522913,approve
0,0.02515183,approve
0,0.14012022,approve
0,0.00042204437,approve
0,0.13000154,approve
0,0.0030737987,approve
0,0.0017596361,approve
0,0.006882637,approve
0,0.010454469,approve
0,0.0124424035,approve
0,0.004812828,approve
0,0.00841819,approve
0,0.07108576,approve
0,0.0036521847,approve
0,0.0027141143,approve
0,0.09361031,approve
0,0.9270458,decline
0,0.0046532014,approve
0,0.03305241,approve
0,0.6728692,approve
0,0.5318441,approve
0,0.97098273,decline
0,0.36248225,approve
0,0.00025018366,approve
0,0.032373857,approve
0,0.0019093553,approve
0,0.005536876,approve
0,0.9746362,decline
0,0.040185142,approve
0,0.24828133,approve
0,0.0028575012,approve
0,0.0052193706,approve
0,0.5163076,approve
0,0.98424053,decline
0,0.89276326,decline
0,0.00039883784,approve
0,0.44336924,approve
0,0.61241114,approve
0,0.012513353,approve
0,0.010656723,approve
0,0.0013959203,approve
0,0.2545113,approve
0,0.0033373828,approve
0,0.05171305,approve
0,0.037110407,approve
0,0.029996613,approve
0,0.0014696885,approve
0,0.0024155844,approve
0,0.35814756,approve
0,0.0015761707,approve
0,0.024218082,approve
0,0.002568788,approve
0,0.04015786,approve
0,0.022663388,approve
0,0.23393436,approve
0,0.77415943,approve
0,0.26140657,approve
0,0.027453035,approve
0,0.0019322471,approve
0,0.009901673,approve
0,0.0024027138,approve
0,0.06413671,approve
0,0.8406261,decline
0,0.48572,approve
0,0.16658767,approve
0,0.31651735,approve
0,0.98414963,decline
0,0.01270718,approve
0,0.01752354,approve
0,0.02330836,approve
0,0.042032022,approve
0,0.114907816,approve
0,0.86333007,decline
0,0.054677084,approve
0,0.09532557,approve
0,0.1623868,approve
0,0.97370934,decline
0,0.00047060993,approve
0,0.048261385,approve
0,0.93509215,decline
0,0.00049910764,approve
0,0.04244757,approve
0,0.008621965,approve
0,0.039538596,approve
0,0.6214143,approve
0,0.0004460234,approve
0,0.00057091477,approve
0,0.978304,decline
0,0.14211132,approve
0,0.0062957136,approve
0,0.037206378,approve
0,0.022042608,approve
0,0.18754481,approve
0,0.010689445,approve
0,0.52218235,approve
0,0.741298,approve
0,0.03592745,approve
0,0.07028356,approve
0,0.40040255,approve
0,0.09434284,approve
0,0.07729311,approve
0,0.35215515,approve
0,0.004529429,approve
0,0.015279197,approve
